n,t_ns,swaps
100,2.2900000000e+04,620
100,2.0400000000e+04,590
100,1.8700000000e+04,534
100,1.9800000000e+04,599
100,2.7800000000e+04,623
100,1.6900000000e+04,557
100,2.0300000000e+04,599
100,1.8400000000e+04,513
100,2.1900000000e+04,658
100,2.1600000000e+04,560
112,1.2700000000e+04,993
112,9.3000000000e+03,661
112,1.1100000000e+04,750
112,1.0700000000e+04,755
112,1.2200000000e+04,727
112,1.4300000000e+04,984
112,9.9000000000e+03,831
112,1.2800000000e+04,1060
112,1.3300000000e+04,887
112,1.4000000000e+04,977
126,1.3200000000e+04,919
126,1.2700000000e+04,783
126,1.4100000000e+04,809
126,1.5400000000e+04,913
126,1.1900000000e+04,839
126,1.2500000000e+04,743
126,1.4300000000e+04,835
126,1.3600000000e+04,1007
126,1.1700000000e+04,836
126,1.1300000000e+04,799
142,1.6100000000e+04,892
142,1.3300000000e+04,986
142,1.6500000000e+04,1110
142,1.3500000000e+04,889
142,1.4900000000e+04,828
142,1.2000000000e+04,860
142,1.4100000000e+04,1059
142,1.4900000000e+04,922
142,1.6700000000e+04,1142
142,1.3900000000e+04,886
159,3.8900000000e+04,1030
159,1.6500000000e+04,1027
159,1.8300000000e+04,1160
159,1.8500000000e+04,1371
159,2.0600000000e+04,1264
159,1.8700000000e+04,1145
159,1.6400000000e+04,1030
159,2.1900000000e+04,1214
159,1.7400000000e+04,1240
159,1.7400000000e+04,1302
179,2.2300000000e+04,1695
179,2.3200000000e+04,1943
179,2.1900000000e+04,1637
179,2.2900000000e+04,1759
179,2.3000000000e+04,1716
179,2.6600000000e+04,1815
179,2.3000000000e+04,1392
179,2.8100000000e+04,1860
179,1.9100000000e+04,1522
179,2.2600000000e+04,1720
201,2.6800000000e+04,2223
201,2.8300000000e+04,2112
201,3.3100000000e+04,2331
201,3.0500000000e+04,1935
201,2.7700000000e+04,2065
201,2.9300000000e+04,2137
201,3.3200000000e+04,2759
201,3.5300000000e+04,2126
201,2.8100000000e+04,2239
201,3.1600000000e+04,1837
226,3.3100000000e+04,2585
226,3.6300000000e+04,2780
226,3.6900000000e+04,2559
226,3.4600000000e+04,2549
226,3.3800000000e+04,2684
226,3.3000000000e+04,2372
226,3.2700000000e+04,2635
226,3.3000000000e+04,2362
226,3.4200000000e+04,2771
226,3.6700000000e+04,2835
254,4.6600000000e+04,2885
254,4.1600000000e+04,2782
254,3.6000000000e+04,2228
254,4.3600000000e+04,2938
254,3.8500000000e+04,2551
